complexity,project,url,file,file URL,type,name,lines,potential block 1,notes 1,time
4319,maxmind-geoip-api-java,https://github.com/maxmind/geoip-api-java/tree/0ed8a38981512667533d47204486aae0278a1bc8,com/maxmind/geoip/regionName.java,https://github.com/maxmind/geoip-api-java/tree/0ed8a38981512667533d47204486aae0278a1bc8/src/main/java/com/maxmind/geoip/regionName.java#L4,method,"regionNameByCode(String, String)",4-8830,https://github.com/maxmind/geoip-api-java/blob/0ed8a38981512667533d47204486aae0278a1bc8/src/main/java/com/maxmind/geoip/regionName.java#L11-L23,if/else if,4m18s
739,maxmind-geoip-api-java,https://github.com/maxmind/geoip-api-java/tree/0ed8a38981512667533d47204486aae0278a1bc8,com/maxmind/geoip/timeZone.java,https://github.com/maxmind/geoip-api-java/tree/0ed8a38981512667533d47204486aae0278a1bc8/src/main/java/com/maxmind/geoip/timeZone.java#L4,method,"timeZoneByCountryAndRegion(String, String)",4-1486,https://github.com/maxmind/geoip-api-java/blob/0ed8a38981512667533d47204486aae0278a1bc8/src/main/java/com/maxmind/geoip/timeZone.java#L33-L81,nested if,2m24s
559,magdel-MapNav,https://github.com/magdel/MapNav/tree/97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3,RPMap/MapCanvas.java,https://github.com/magdel/MapNav/tree/97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3/src/main/java/RPMap/MapCanvas.java#L1663,method,paintWindow(Graphics),1663-4468,https://github.com/magdel/MapNav/blob/97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3/src/main/java/RPMap/MapCanvas.java#L1732-L1734,some math,failed
535,messai-engineering-Yuga,https://github.com/messai-engineering/Yuga/tree/40b006970e6e9a1eb5fc13e739f22232c683a965,com/twelfthmile/yuga/Yuga.java,https://github.com/messai-engineering/Yuga/tree/40b006970e6e9a1eb5fc13e739f22232c683a965/src/main/java/com/twelfthmile/yuga/Yuga.java#L203,method,"parseInternal(String, Map)",203-1370,https://github.com/messai-engineering/Yuga/blob/40b006970e6e9a1eb5fc13e739f22232c683a965/src/main/java/com/twelfthmile/yuga/Yuga.java#L239C33-L245,nested if,5m10s
491,pvto-konte-art,https://github.com/pvto/konte-art/tree/03c969d8fd62ba3c7175a840e6a785049183f4b6,org/konte/parse/Parser.java,https://github.com/pvto/konte-art/tree/03c969d8fd62ba3c7175a840e6a785049183f4b6/src/main/java/org/konte/parse/Parser.java#L282,method,parse(ArrayList),282-1983,https://github.com/pvto/konte-art/blob/03c969d8fd62ba3c7175a840e6a785049183f4b6/src/main/java/org/konte/parse/Parser.java#L611-L613,exception,2m50s
382,tud-fop-j-Algo,https://github.com/tud-fop/j-Algo/tree/f59fbbd9ccc3f41d6866fda44324622e2b47eef2,c00/parser/C00Parser.java,https://github.com/tud-fop/j-Algo/tree/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Parser.java#L321,method,globalDeclarations(),321-1939,https://github.com/tud-fop/j-Algo/blob/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Parser.java#L1146C1-L1155C31,nested exception,4m46s
327,tud-fop-j-Algo,https://github.com/tud-fop/j-Algo/tree/f59fbbd9ccc3f41d6866fda44324622e2b47eef2,c00/parser/C00Lexer.java,https://github.com/tud-fop/j-Algo/tree/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Lexer.java#L1526,method,mTokens(),1526-2516,https://github.com/tud-fop/j-Algo/blob/f59fbbd9ccc3f41d6866fda44324622e2b47eef2/src/main/java/c00/parser/C00Lexer.java#L1628C11-L1633C12,nested if,2m08s
305,PeterisP-morphology,https://github.com/PeterisP/morphology/tree/1195adb7bb994292e5b06f2b20f4feb6191ca951,lv/semti/morphology/analyzer/Mijas.java,https://github.com/PeterisP/morphology/tree/1195adb7bb994292e5b06f2b20f4feb6191ca951/src/main/java/lv/semti/morphology/analyzer/Mijas.java#L33,method,"mijuVarianti(String, int, boolean)",33-618,https://github.com/PeterisP/morphology/blob/1195adb7bb994292e5b06f2b20f4feb6191ca951/src/main/java/lv/semti/morphology/analyzer/Mijas.java#L122C2-L125C96,nested if,2m18s
298,mvel-mvel,https://github.com/mvel/mvel/tree/236d37bc78a158553592afedbbf1aa27815efb78,org/mvel2/compiler/AbstractParser.java,https://github.com/mvel/mvel/tree/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/compiler/AbstractParser.java#L245,method,nextToken(),245-1290,https://github.com/mvel/mvel/blob/236d37bc78a158553592afedbbf1aa27815efb78/src/main/java/org/mvel2/compiler/AbstractParser.java#L324-L329,single line loop,2m16s
295,PeterisP-morphology,https://github.com/PeterisP/morphology/tree/1195adb7bb994292e5b06f2b20f4feb6191ca951,lv/semti/morphology/analyzer/Mijas.java,https://github.com/PeterisP/morphology/tree/1195adb7bb994292e5b06f2b20f4feb6191ca951/src/main/java/lv/semti/morphology/analyzer/Mijas.java#L680,method,"MijasLoc&#x12b;&#x161;anai(String, int, String, boolean, boolean)",680-1238,https://github.com/PeterisP/morphology/blob/1195adb7bb994292e5b06f2b20f4feb6191ca951/src/main/java/lv/semti/morphology/analyzer/Mijas.java#L767-L774,nested if,2m16s
